format=0 tracks=1 division=240
# TRACK 0

BA    6   CR    11/240   TR  0   CH  5   NT  B-        1+49/80   von=89
BA    6   CR     13/40   TR  0   CH 10   NT  Eb-         7/240   von=44
BA    6   CR   157/240   TR  0   CH 10   NT  F-           1/30   von=56
BA    6   CR    1+1/30   TR  0   CH 10   NT  B-          7/240   von=82
BA    6   CR  1+61/120   TR  0   CH  6   NT  E         1+11/80   von=70
BA    6   CR 1+127/240   TR  0   CH  5   NT  E         223/240   von=102
BA    6   CR 1+133/240   TR  0   CH  6   NT  G#        1+23/60   von=78
BA    6   CR    1+9/16   TR  0   CH  3   NT  G#--      203/240   von=58
BA    6   CR   1+17/30   TR  0   CH  5   NT  G#        1+1/240   von=87
BA    6   CR     1+5/8   TR  0   CH  6   NT  G#'      1+11/240   von=80
BA    6   CR 2+107/240   TR  0   CH  3   NT  B---         8/15   von=58
BA    6   CR  2+59/120   TR  0   CH  5   NT  B-          43/60   von=76
BA    6   CR     2+1/2   TR  0   CH  6   NT  B-         1+7/30   von=52
BA    6   CR     2+1/2   TR  0   CH 11   ST &BA &0B &7D
BA    6   CR 2+133/240   TR  0   CH  6   NT  B           11/20   von=54
BA    6   CR 2+101/120   TR  0   CH 11   ST &BA &0B &7B
BA    6   CR   2+79/80   TR  0   CH  5   NT  Eb         1+1/80   von=89
BA    6   CR 2+119/120   TR  0   CH  3   NT  F#--      1+7/120   von=61
BA    6   CR   3+1/240   TR  0   CH  6   NT  Eb      1+109/240   von=75
BA    6   CR    3+1/24   TR  0   CH  5   NT  F#          37/40   von=104
BA    6   CR  3+11/240   TR  0   CH  6   NT  F#          1+1/2   von=76
BA    6   CR  3+17/240   TR  0   CH  6   NT  F#'       233/240   von=69
BA    6   CR  3+77/240   TR  0   CH 11   ST &BA &0B &79
BA    6   CR 3+193/240   TR  0   CH 11   ST &BA &0B &77
BA    6   CR 3+233/240   TR  0   CH  5   NT  B-         67/120   von=83
BA    6   CR 3+233/240   TR  0   CH  6   NT  B             3/5   von=59
BA    6   CR 3+233/240   TR  0   CH  6   NT  B-        1+17/24   von=66
BA    6   CR   3+79/80   TR  0   CH  3   NT  B---       59/120   von=50

BA    7   CR    11/120   TR  0   CH 11   ST &BA &0B &75
BA    7   CR      7/16   TR  0   CH 11   ST &BA &0B &73
BA    7   CR     41/80   TR  0   CH  5   NT  E         1+7/240   von=90
BA    7   CR     25/48   TR  0   CH  3   NT  E--         23/24   von=67
BA    7   CR      8/15   TR  0   CH  6   NT  E'         1+1/48   von=73
BA    7   CR   131/240   TR  0   CH  6   NT  E               1   von=77
BA    7   CR     11/12   TR  0   CH 11   ST &BA &0B &71
BA    7   CR   1+11/24   TR  0   CH  6   NT  Eb       1+19/120   von=76
BA    7   CR   1+41/80   TR  0   CH  3   NT  Eb--        25/48   von=52
BA    7   CR 1+127/240   TR  0   CH  5   NT  Eb          21/40   von=95
BA    7   CR 1+127/240   TR  0   CH  6   NT  Eb'         13/24   von=71
BA    7   CR 1+133/240   TR  0   CH 11   ST &BA &0B &6E
