format=0 tracks=1 division=96

BA    3   CR    2+1/96   TR  0   CH  9   NT  B           43/96   von=112
BA    3   CR    2+1/32   TR  0   CH  3   NT  E'          43/96   von=109
BA    3   CR    2+1/24   TR  0   CH  9   NT  E'           5/12   von=90
BA    3   CR    2+1/16   TR  0   CH 10   NT  F#-          1/96   von=83
BA    3   CR   2+25/96   TR  0   CH 10   NT  F#-          1/96   von=70
BA    3   CR   2+43/96   TR  0   CH 10   NT  F#-          1/96   von=82
BA    3   CR     2+1/2   TR  0   CH  3   NT  B           23/48   von=103
BA    3   CR   2+49/96   TR  0   CH  9   NT  B           43/96   von=108
BA    3   CR   2+17/32   TR  0   CH  3   NT  E'          43/96   von=111
BA    3   CR   2+13/24   TR  0   CH  9   NT  E'           5/12   von=92
BA    3   CR   2+31/48   TR  0   CH 10   NT  F#-          1/96   von=80
BA    3   CR   2+41/48   TR  0   CH 10   NT  F#-          1/96   von=82
BA    3   CR   2+95/96   TR  0   CH  3   ST &E2 &00 &3B
BA    3   CR         3   TR  0   CH  3   NT  B           23/48   von=108
BA    3   CR    3+1/96   TR  0   CH  9   NT  B           43/96   von=113
BA    3   CR    3+1/32   TR  0   CH  3   NT  E'          43/96   von=115
BA    3   CR    3+5/96   TR  0   CH 10   NT  F#-          1/96   von=71
BA    3   CR     3+1/4   TR  0   CH  3   ST &E2 &00 &40
BA    3   CR   3+25/96   TR  0   CH 10   NT  F#-          1/96   von=76
BA    3   CR   3+43/96   TR  0   CH 10   NT  F#-          1/96   von=71
BA    3   CR     3+1/2   TR  0   CH  3   NT  B           23/48   von=107
BA    3   CR   3+49/96   TR  0   CH  9   NT  B           43/96   von=112
BA    3   CR   3+17/32   TR  0   CH  3   NT  E'          43/96   von=113
BA    3   CR   3+31/48   TR  0   CH 10   NT  F#-          1/96   von=73
BA    3   CR   3+27/32   TR  0   CH 10   NT  F#-          1/96   von=65

BA    4   CR         0   TR  0   CH  3   NT  B           37/96   von=104
BA    4   CR      1/96   TR  0   CH  9   NT  B           17/48
BA    4   CR      1/24   TR  0   CH  3   NT  E'            3/8   von=112
BA    4   CR      1/24   TR  0   CH 10   NT  F#-          1/96   von=82
BA    4   CR      7/32   TR  0   CH 10   NT  F#-          1/96
BA    4   CR      5/12   TR  0   CH 10   NT  F#-          1/96   von=84
BA    4   CR       1/2   TR  0   CH  3   NT  D'          89/96   von=113
BA    4   CR     49/96   TR  0   CH  9   NT  D'          15/32
BA    4   CR     17/32   TR  0   CH  3   NT  G'          43/48   von=119
BA    4   CR       5/8   TR  0   CH 10   NT  F#-          1/96   von=85
BA    4   CR     13/16   TR  0   CH 10   NT  F#-          1/96   von=83
BA    4   CR    1+1/96   TR  0   CH  9   NT  B           15/32   von=111
BA    4   CR    1+1/96   TR  0   CH 10   NT  F#-          1/96   von=84
BA    4   CR    1+1/48   TR  0   CH  3   ST &E2 &00 &30
BA    4   CR   1+11/48   TR  0   CH 10   NT  F#-          1/96   von=81
BA    4   CR   1+43/96   TR  0   CH 10   NT  F#-          1/96   von=78
BA    4   CR   1+47/96   TR  0   CH  3   ST &E2 &00 &40
BA    4   CR     1+1/2   TR  0   CH  3   NT  A           85/96   von=114
BA    4   CR   1+49/96   TR  0   CH  9   NT  A           15/32
BA    4   CR   1+13/24   TR  0   CH  3   NT  C#'         27/32   von=105
BA    4   CR   1+53/96   TR  0   CH  9   NT  C#'         11/24
BA    4   CR     1+5/8   TR  0   CH 10   NT  F#-          1/96   von=78
BA    4   CR     1+5/6   TR  0   CH 10   NT  F#-          1/96   von=80
BA    4   CR         2   TR  0   CH  3   ST &E2 &00 &36
BA    4   CR    2+1/96   TR  0   CH  9   NT  G           11/24   von=111
BA    4   CR    2+5/96   TR  0   CH 10   NT  F#-          1/96   von=84
BA    4   CR     2+1/4   TR  0   CH 10   NT  F#-          1/96   von=78
BA    4   CR    2+7/16   TR  0   CH 10   NT  F#-          1/96   von=83
BA    4   CR   2+47/96   TR  0   CH  3   ST &E2 &00 &40
BA    4   CR     2+1/2   TR  0   CH  3   NT  E           23/48   von=116
BA    4   CR   2+49/96   TR  0   CH  9   NT  E           43/96
BA    4   CR   2+61/96   TR  0   CH 10   NT  F#-          1/96   von=82
BA    4   CR   2+27/32   TR  0   CH 10   NT  F#-          1/96   von=83
BA    4   CR   2+95/96   TR  0   CH  3   ST &E2 &00 &3B
BA    4   CR         3   TR  0   CH  3   NT  G#          23/48   von=111
BA    4   CR         3   TR  0   CH  9   ST &E8 &00 &3B
BA    4   CR    3+1/96   TR  0   CH  3   NT  B           11/24   von=118
BA    4   CR    3+1/96   TR  0   CH  9   NT  G#          43/96   von=111
BA    4   CR    3+1/48   TR  0   CH  9   NT  B           41/96   von=118
