format=1 tracks=4 division=192
# TRACK 0

BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 100
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track

# TRACK 1

# BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
# BA    1   CR         0   TR  0   CH 16   Tempo 100
# BA    1   CR         0   TR  0   CH 16   Key C major
BA   11   CR         0   TR  1   CH  1   NT  A--        89/192   von=60
BA   11   CR      1/64   TR  1   CH  1   NT  E-          13/32   von=62
BA   11   CR      1/32   TR  1   CH  1   NT  A           25/96   von=66
BA   11   CR      1/32   TR  1   CH  1   NT  A-            1/6   von=70
BA   11   CR    25/192   TR  1   CH  1   ST &B0 &40 &7F
BA   11   CR    83/192   TR  1   CH  1   NT  A-           9/64   von=52
BA   11   CR      7/16   TR  1   CH  1   NT  G          29/192   von=58
BA   11   CR       5/6   TR  1   CH  1   NT  C#-         11/96   von=48
BA   11   CR   161/192   TR  1   CH  1   NT  F#           5/24   von=49
BA   11   CR   161/192   TR  1   CH  1   NT  E-          13/96   von=57
BA   11   CR     41/48   TR  1   CH  1   NT  A--        23/192   von=54
BA   11   CR       7/8   TR  1   CH  1   NT  A-            1/8   von=51
BA   11   CR  1+49/192   TR  1   CH  1   NT  E          19/192   von=63
BA   11   CR   1+71/96   TR  1   CH  1   NT  D--         31/32   von=61
BA   11   CR     1+3/4   TR  1   CH  1   NT  D-          47/48   von=57
BA   11   CR   1+49/64   TR  1   CH  1   NT  A-        155/192   von=67
BA   11   CR   1+37/48   TR  1   CH  1   NT  D           89/96   von=68
BA   11   CR   1+37/48   TR  1   CH  1   NT  F#-       173/192   von=58
BA   11   CR   1+19/24   TR  1   CH  1   ST &B0 &40 &00
BA   11   CR         2   TR  1   CH  1   ST &B0 &40 &7F
BA   11   CR   2+43/64   TR  1   CH  1   NT  A--         13/96   von=70
BA   11   CR  3+19/192   TR  1   CH  1   NT  A-           5/32   von=71
BA   11   CR   3+33/64   TR  1   CH  1   NT  D--         19/64   von=59
BA   11   CR   3+25/48   TR  1   CH  1   NT  D          37/192   von=66
BA   11   CR   3+13/24   TR  1   CH  1   NT  F#-         11/64   von=64
BA   11   CR   3+13/24   TR  1   CH  1   NT  A-           9/64   von=60
BA   11   CR   3+13/24   TR  1   CH  1   NT  D-            3/8
BA   11   CR 3+115/192   TR  1   CH  1   ST &B0 &40 &7F
BA   11   CR   3+29/32   TR  1   CH  1   NT  F#-          9/64   von=34
BA   11   CR   3+23/24   TR  1   CH  1   NT  A-           7/48   von=60
BA   11   CR 3+187/192   TR  1   CH  1   NT  D          35/192   von=62

BA   12   CR       3/8   TR  1   CH  1   ST &B0 &40 &00
BA   12   CR    73/192   TR  1   CH  1   NT  C#          13/64   von=49
BA   12   CR     19/48   TR  1   CH  1   NT  C#-         13/64   von=46
BA   12   CR     19/48   TR  1   CH  1   NT  E            5/24   von=62
BA   12   CR      5/12   TR  1   CH  1   NT  A-          11/64   von=59
BA   12   CR      5/12   TR  1   CH  1   NT  A--         11/48   von=60
BA   12   CR      5/12   TR  1   CH  1   NT  E-           3/16   von=55
BA   12   CR     17/32   TR  1   CH  1   ST &B0 &40 &7F
BA   12   CR     25/32   TR  1   CH  1   NT  A-         35/192   von=46
BA   12   CR     19/24   TR  1   CH  1   NT  E            9/64   von=52
BA   12   CR     19/24   TR  1   CH  1   NT  C#           9/64   von=42
BA   12   CR    1+5/24   TR  1   CH  1   ST &B0 &40 &00
BA   12   CR  1+41/192   TR  1   CH  1   NT  D--         31/32   von=61
BA   12   CR   1+11/48   TR  1   CH  1   NT  D-        167/192   von=60
BA   12   CR   1+23/96   TR  1   CH  1   NT  F#          29/96   von=57
BA   12   CR     1+1/4   TR  1   CH  1   NT  A-         43/192   von=67
BA   12   CR  1+73/192   TR  1   CH  1   ST &B0 &40 &7F
BA   12   CR   1+11/16   TR  1   CH  1   NT  A-          11/48   von=61
BA   12   CR   1+11/16   TR  1   CH  1   NT  D            7/32   von=69
BA   12   CR  2+25/192   TR  1   CH  1   NT  A--        29/192   von=66
BA   12   CR   2+17/32   TR  1   CH  1   NT  F#         35/192   von=51
BA   12   CR   2+43/48   TR  1   CH  1   ST &B0 &40 &00
BA   12   CR 2+185/192   TR  1   CH  1   NT  A          43/192   von=70
BA   12   CR 2+185/192   TR  1   CH  1   NT  D--         89/96   von=58
BA   12   CR 2+185/192   TR  1   CH  1   NT  D-        115/192   von=57
BA   12   CR   2+95/96   TR  1   CH  1   NT  D            5/32   von=69
BA   12   CR   2+95/96   TR  1   CH  1   NT  F#            1/6   von=51
BA   12   CR   2+95/96   TR  1   CH  1   NT  A-            1/6   von=70
BA   12   CR    3+1/12   TR  1   CH  1   ST &B0 &40 &7F
BA   12   CR   3+13/32   TR  1   CH  1   NT  A           15/64   von=66
BA   12   CR    3+5/12   TR  1   CH  1   NT  D             1/6   von=67
BA   12   CR    3+5/12   TR  1   CH  1   NT  A-            1/6   von=62
BA   12   CR 3+155/192   TR  1   CH  1   NT  D-          11/64   von=55
BA   12   CR   3+13/16   TR  1   CH  1   NT  A--          7/64   von=62
BA   12   CR 3+161/192   TR  1   CH  1   NT  G          35/192   von=74
BA   12   CR   3+83/96   TR  1   CH  1   NT  A-           3/32   von=62
BA   12   CR     3+7/8   TR  1   CH  1   NT  D            1/16   von=58

BA   13   CR     23/96   TR  1   CH  1   NT  F#            1/6   von=46
BA   13   CR   131/192   TR  1   CH  1   ST &B0 &40 &00
BA   13   CR     17/24   TR  1   CH  1   NT  A--         57/64   von=60
BA   13   CR   137/192   TR  1   CH  1   NT  E         1+7/192   von=78
BA   13   CR     83/96   TR  1   CH  1   ST &B0 &40 &7F
BA   13   CR   1+55/96   TR  1   CH  1   NT  C#-          5/32   von=39
BA   13   CR 1+113/192   TR  1   CH  1   NT  E-           7/64   von=47
BA   13   CR 1+115/192   TR  1   CH  1   NT  A-          11/96   von=38
BA   13   CR     1+5/8   TR  1   CH  1   NT  C#           1/12   von=27
BA   13   CR   2+1/192   TR  1   CH  1   NT  A-            1/6   von=73
BA   13   CR  2+83/192   TR  1   CH  1   NT  C#          11/64   von=57
BA   13   CR    2+7/16   TR  1   CH  1   NT  A--       149/192   von=58
BA   13   CR   2+17/32   TR  1   CH  1   ST &B0 &40 &7F
BA   13   CR     2+5/6   TR  1   CH  1   NT  C#           9/64   von=57
BA   13   CR   2+83/96   TR  1   CH  1   NT  A-           7/64
BA   13   CR  3+49/192   TR  1   CH  1   NT  C#-           1/6   von=37
BA   13   CR   3+13/48   TR  1   CH  1   NT  C#          17/96   von=81
BA   13   CR    3+9/32   TR  1   CH  1   NT  E-            1/8   von=49
BA   13   CR    3+9/32   TR  1   CH  1   NT  G-           9/64   von=51
BA   13   CR    3+9/32   TR  1   CH  1   NT  A-         29/192   von=62
BA   13   CR   3+17/24   TR  1   CH  1   NT  D            9/64   von=64

BA   14   CR     1/192   TR  1   CH  1   ST &B0 &40 &00
BA   14   CR    19/192   TR  1   CH  1   NT  A--         11/12   von=58
BA   14   CR    25/192   TR  1   CH  1   NT  E          55/192   von=75
BA   14   CR      7/48   TR  1   CH  1   NT  A-            1/6   von=70
BA   14   CR    41/192   TR  1   CH  1   ST &B0 &40 &7F
BA   14   CR     55/96   TR  1   CH  1   NT  C#          23/96   von=46
BA   14   CR   115/192   TR  1   CH  1   NT  A-           9/64
BA   14   CR   187/192   TR  1   CH  1   NT  C#-         11/64   von=39
BA   14   CR     95/96   TR  1   CH  1   NT  G-         29/192   von=54
BA   14   CR         1   TR  1   CH  1   NT  E-            1/8   von=52
BA   14   CR   1+19/48   TR  1   CH  1   NT  E            3/16   von=49
BA   14   CR  1+83/192   TR  1   CH  1   NT  A-           9/64   von=53
BA   14   CR 1+155/192   TR  1   CH  1   ST &B0 &40 &00
BA   14   CR 1+161/192   TR  1   CH  1   NT  A--         13/24   von=58
BA   14   CR   1+41/48   TR  1   CH  1   NT  G-          11/24   von=56
BA   14   CR   1+83/96   TR  1   CH  1   NT  A           25/96   von=67
BA   14   CR     1+7/8   TR  1   CH  1   NT  A-          19/96   von=66
BA   14   CR 1+185/192   TR  1   CH  1   ST &B0 &40 &7F
BA   14   CR    2+9/32   TR  1   CH  1   NT  G           17/96   von=62
BA   14   CR   2+19/64   TR  1   CH  1   NT  A-          13/96   von=52
BA   14   CR   2+17/24   TR  1   CH  1   NT  F#          19/96   von=48
BA   14   CR 2+139/192   TR  1   CH  1   NT  G-           1/12   von=50
BA   14   CR   2+35/48   TR  1   CH  1   NT  A-          13/96   von=55
BA   14   CR     2+3/4   TR  1   CH  1   NT  C#-        17/192   von=41
BA   14   CR     2+3/4   TR  1   CH  1   NT  E-           1/16   von=48
BA   14   CR   2+49/64   TR  1   CH  1   NT  A--        19/192   von=33
BA   14   CR    3+5/48   TR  1   CH  1   NT  E            5/48   von=60
